Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
22.461		133.1		-192.1		0.02		0.02		0.02		0.02		0.245		54.2		
22.559		141.4		-191.7		0.02		0.02		0.02		0.02		0.218		49.8		
22.656		143.1		-186.9		0.01		0.02		0.02		0.02		0.199		44.6		
22.754		146.6		-183.8		0.02		0.02		0.02		0.02		0.165		36.4		
22.852		153.1		-183.4		0.01		0.02		0.02		0.02		0.137		28.6		
22.949		156.1		-179.9		0.02		0.02		0.01		0.02		0.102		23.4		
23.047		154.8		-175.9		0.02		0.02		0.01		0.02		0.076		16.5		
23.145		162.6		-173.7		0.01		0.02		0.02		0.01		0.038		6.9		
23.242		161.7		-165.0		0.02		0.02		0.02		0.02		0.004		1.3		
23.340		172.1		-162.8		0.02		0.01		0.01		0.02		-0.019		0.0		
23.438		173.9		-158.9		0.02		0.02		0.02		0.02		0.006		0.0		
23.535		174.3		-157.5		0.02		0.02		0.02		0.02		-0.004		-2.2		
23.633		179.9		-151.4		0.02		0.02		0.01		0.02		0.015		-0.4		
23.730		180.4		-146.2		0.02		0.02		0.02		0.02		0.000		0.0		
23.828		183.4		-141.8		0.02		0.02		0.01		0.02		-0.008		-0.4		
23.926		184.7		-139.2		0.01		0.02		0.02		0.02		-0.004		0.9		
24.023		189.5		-136.1		0.02		0.01		0.02		0.02		-0.011		2.2		
24.121		186.9		-132.2		0.02		0.01		0.01		0.02		-0.013		-2.6		
24.219		189.1		-123.9		0.02		0.02		0.02		0.02		-0.004		-1.3		
24.316		189.1		-123.0		0.02		0.01		0.02		0.02		-0.011		-1.7		
24.414		192.5		-117.7		0.02		0.03		0.02		0.02		-0.004		-2.2		
24.512		190.4		-113.8		0.02		0.02		0.02		0.02		0.002		-1.7		
24.609		192.5		-109.4		0.02		0.03		0.02		0.02		0.008		0.9		
24.707		196.4		-108.1		0.02		0.02		0.02		0.02		-0.006		-1.7		
24.805		198.6		-103.3		0.02		0.01		0.01		0.02		-0.015		-3.5		
24.902		195.1		-96.7		0.02		0.01		0.02		0.02		-0.011		0.4		
25.000		180.4		-81.0		3.69		0.02		0.01		0.02		0.343		73.7		
25.098		196.9		-88.4		3.68		0.02		0.01		0.02		0.383		83.6		
25.195		194.7		-81.8		3.68		0.03		0.01		0.02		0.364		81.5		
25.293		195.1		-79.6		3.69		0.02		0.01		0.02		0.341		76.7		
25.391		193.0		-79.2		3.68		0.02		0.01		0.02		0.315		72.4		
25.488		194.7		-70.5		3.68		0.02		0.01		0.02		0.311		71.9		
25.586		195.1		-68.3		3.69		0.02		0.01		0.02		0.292		65.4		
25.684		193.4		-63.0		3.69		0.03		0.01		0.02		0.256		61.1		
25.781		191.2		-57.8		3.69		0.02		0.01		0.02		0.245		56.3		
25.879		189.5		-53.8		3.69		0.02		0.02		0.02		0.216		49.4		
25.977		190.4		-44.2		3.69		0.02		0.01		0.02		0.197		42.9		
26.074		188.2		-38.1		3.68		0.02		0.01		0.02		0.150		38.6		
26.172		184.3		-31.1		3.68		0.03		0.01		0.02		0.144		28.6		
26.270		179.9		-28.9		3.68		0.03		0.01		0.02		0.112		23.0		
26.367		179.1		-19.7		3.69		0.03		0.01		0.02		0.080		17.3		
26.465		173.0		-11.4		3.68		0.03		0.01		0.02		0.040		11.7		
26.563		170.4		-3.1		3.69		0.03		0.01		0.02		0.002		3.9		
26.660		166.5		0.0		3.69		0.01		0.02		0.02		-0.013		-2.6		
26.758		162.6		13.1		3.69		0.03		0.02		0.02		0.006		0.0		
26.855		154.8		18.8		3.69		0.03		0.01		0.02		0.013		-2.6		
26.953		153.9		26.3		3.69		0.03		0.02		0.02		0.006		2.2		
27.051		146.1		34.6		3.69		0.01		0.01		0.02		-0.013		-2.2		
27.148		143.5		41.1		3.69		0.03		0.02		0.02		0.002		-0.4		
27.246		137.5		48.1		3.69		0.01		0.02		0.02		-0.017		-3.0		
27.344		138.8		52.5		3.69		0.03		0.01		0.02		0.000		1.3		
27.441		133.1		56.9		3.69		0.03		0.01		0.02		0.000		0.4		
27.539		129.6		59.1		3.69		0.03		0.02		0.02		0.000		0.9		
27.637		121.8		67.4		3.69		0.02		0.02		0.02		0.013		0.4		
27.734		119.7		72.2		3.69		0.01		0.01		0.02		-0.011		0.4		
27.832		114.5		77.0		3.69		0.03		0.01		0.02		0.008		-1.3		
27.930		112.7		82.3		3.69		0.03		0.02		0.02		0.000		0.0		
28.027		111.0		86.7		3.69		0.03		0.01		0.02		0.011		-0.4		
28.125		105.8		91.5		3.68		0.03		0.01		0.02		-0.004		-0.4		
28.223		102.8		95.8		3.69		0.01		0.01		0.02		-0.015		-2.2		
28.320		58.1		121.2		3.69		3.69		0.01		0.02		0.258		56.3		
28.418		91.1		107.7		3.69		3.69		0.01		0.02		0.372		88.0		
28.516		88.9		111.2		3.69		3.69		0.01		0.01		0.372		81.9		
28.613		79.3		116.4		3.68		3.69		0.01		0.01		0.351		81.9		
28.711		76.7		121.7		3.68		3.69		0.01		0.02		0.334		75.0		
28.809		76.3		121.2		3.69		3.69		0.01		0.01		0.330		73.7		
28.906		72.0		124.3		3.69		3.69		0.01		0.01		0.313		68.5		
29.004		68.9		127.8		3.69		3.69		0.01		0.01		0.290		65.4		
29.102		60.7		134.8		3.69		3.69		0.01		0.02		0.264		61.1		
