Oscilloscope Trace Export		
Festo Didactic LVDAC-EMS 3.19		
		
		
		Ch1		Ch2		Ch3		Ch4		Ch5		Ch6		Ch7		Ch8		
Time 		E1		E2		AI5		AI1		AI6		AI2		I3		E3		
(ms)		(V)		(V)		(V)		(V)		(V)		(V)		(A)		(V)		
17.285		-137.0		-55.6		0.01		0.02		3.68		3.68		1.075		-64.1		
17.383		-129.2		-63.5		0.01		0.02		3.68		3.68		1.077		-68.5		
17.480		-128.8		-68.3		0.01		0.02		3.68		3.68		1.102		-74.1		
17.578		-120.5		-73.1		0.01		0.02		3.68		3.68		1.130		-82.3		
17.676		-117.9		-74.8		0.01		0.02		3.68		3.68		1.123		-84.5		
17.773		-115.3		-85.3		0.02		0.02		3.68		3.68		1.153		-90.1		
17.871		-113.2		-89.3		0.02		0.02		3.68		3.68		1.157		-97.1		
17.969		-107.1		-91.9		0.02		0.02		3.68		3.68		1.168		-99.7		
18.066		-102.3		-97.2		0.01		0.02		3.68		3.69		1.172		-104.9		
18.164		-100.2		-99.8		0.02		0.02		3.68		3.69		1.185		-110.9		
18.262		-95.4		-108.1		0.02		0.02		3.68		3.69		1.191		-116.6		
18.359		-91.9		-112.0		0.02		0.02		3.68		3.69		1.168		-117.9		
18.457		-87.2		-116.0		0.02		0.02		3.68		3.68		1.138		-121.8		
18.555		-85.9		-117.7		0.01		0.02		3.68		3.69		1.130		-124.4		
18.652		-80.2		-117.7		0.02		0.02		3.68		3.68		1.087		-127.8		
18.750		-76.7		-126.0		0.02		0.02		3.68		3.68		1.058		-134.8		
18.848		-75.9		-131.3		0.01		0.02		3.68		3.68		1.005		-133.0		
18.945		-68.9		-128.7		0.02		0.02		3.68		3.68		0.996		-135.2		
19.043		-65.9		-136.1		0.01		0.02		3.68		3.68		0.965		-140.0		
19.141		-58.1		-136.1		0.01		0.02		3.68		3.69		0.920		-143.9		
19.238		-51.2		-143.1		0.02		0.02		3.68		3.69		0.901		-151.7		
19.336		-41.6		-150.1		0.02		0.03		3.68		3.69		0.876		-154.7		
19.434		-36.9		-155.8		0.01		0.02		3.68		3.68		0.825		-156.9		
19.531		-29.9		-160.6		0.02		0.02		3.68		3.69		0.800		-159.9		
19.629		-23.8		-158.9		0.01		0.02		3.68		3.69		0.757		-165.5		
19.727		-18.2		-163.2		0.01		0.02		3.68		3.68		0.707		-166.4		
19.824		-12.1		-165.9		0.01		0.02		3.68		3.68		0.647		-169.9		
19.922		-1.3		-167.6		0.02		0.04		0.02		3.69		0.594		-171.6		
20.020		0.4		-160.2		0.01		0.02		0.02		3.69		0.679		-21.7		
20.117		19.9		-176.4		0.01		0.02		0.02		3.68		0.783		-28.2		
20.215		27.8		-177.7		0.01		0.02		0.02		3.69		0.838		-35.5		
20.313		37.3		-181.2		0.01		0.02		0.02		3.68		0.884		-41.6		
20.410		42.5		-183.8		0.02		0.02		0.02		3.68		0.926		-50.7		
20.508		48.6		-185.6		0.02		0.02		0.02		3.68		0.958		-54.2		
20.605		53.8		-191.7		0.01		0.02		0.02		3.68		1.011		-62.0		
20.703		58.1		-191.7		0.01		0.02		0.01		3.68		1.028		-65.9		
20.801		65.9		-194.3		0.01		0.02		0.02		3.68		1.081		-72.8		
20.898		70.2		-194.7		0.01		0.02		0.02		3.68		1.100		-79.3		
20.996		75.4		-193.4		0.01		0.02		0.02		3.68		1.153		-86.2		
21.094		79.3		-197.4		0.02		0.02		0.02		3.68		1.149		-88.4		
21.191		88.5		-196.5		0.01		0.02		0.02		3.68		1.166		-94.5		
21.289		92.8		-199.6		0.02		0.02		0.02		3.68		1.168		-97.5		
21.387		95.0		-201.8		0.01		0.02		0.02		3.68		1.180		-102.3		
21.484		99.3		-200.0		0.01		0.02		0.02		3.68		1.155		-107.9		
21.582		103.6		-196.5		0.01		0.02		0.02		3.68		1.153		-113.1		
21.680		109.7		-199.6		0.02		0.02		0.02		3.68		1.127		-117.4		
21.777		110.1		-200.9		0.01		0.02		0.02		3.68		1.104		-120.0		
21.875		119.2		-199.6		0.02		0.02		0.02		3.68		1.077		-120.9		
21.973		122.3		-200.4		0.01		0.02		0.02		3.68		1.079		-126.5		
22.070		126.2		-203.1		0.01		0.02		0.02		3.68		1.053		-131.7		
22.168		128.8		-201.3		0.02		0.02		0.02		3.68		1.017		-133.0		
22.266		128.3		-200.9		0.01		0.02		0.02		3.68		1.011		-136.1		
22.363		134.9		-199.6		0.01		0.02		0.02		3.68		0.986		-139.1		
22.461		136.6		-193.9		0.01		0.02		0.02		3.68		0.958		-145.6		
22.559		144.0		-193.4		0.01		0.02		0.02		3.68		0.916		-149.5		
22.656		147.9		-192.1		0.01		0.02		0.01		3.68		0.895		-150.4		
22.754		151.8		-192.1		0.01		0.02		0.02		3.68		0.844		-153.8		
22.852		153.9		-184.7		0.01		0.02		0.02		3.68		0.787		-159.0		
22.949		157.8		-180.7		0.01		0.02		0.01		3.68		0.740		-162.9		
23.047		159.1		-176.4		0.02		0.02		0.02		3.68		0.690		-166.0		
